City_ID,City,Country,Max Temp,Description,Lat,Lng,Current Description,Hotel Name
588,Payo,ID,72.46,broken clouds,-3.7508,103.6372,broken clouds,Mess keban agung
592,Salinas,US,85.57,broken clouds,36.6777,-121.6555,broken clouds,Laurel Inn & Conference Center
593,Porto Novo,BJ,80.51,light rain,6.4965,2.6036,light rain,Tour Eiffel Hotel Benin
594,Atar,MR,94.15,scattered clouds,20.5169,-13.0499,scattered clouds,Oumou Elghoura
595,Azare,NG,87.26,scattered clouds,11.6765,10.1948,scattered clouds,Mallam Ayuba Compound
598,Pachperwa,IN,85.95,clear sky,27.5167,82.65,clear sky,Manglam mairrage haal
607,Dubti,ET,91.31,clear sky,11.7361,41.0853,clear sky,degu Shiferaw
609,Los Alamos,US,86.68,clear sky,35.8881,-106.307,clear sky,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
610,Kendari,ID,76.35,scattered clouds,-3.945,122.4989,scattered clouds,Hotel Wixel
611,Palauig,PH,82.0,overcast clouds,15.435,119.9045,overcast clouds,Alperi Botique Resort
612,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,broken clouds,EPIC SANA Luanda
615,Aurora,US,81.0,broken clouds,39.7294,-104.8319,broken clouds,Best Western Plus Gateway Inn & Suites
619,Kassala,SD,90.9,clear sky,15.450999999999999,36.4,clear sky,Amassi Hotel Gash
622,Ceres,US,95.32,clear sky,37.5949,-120.9577,clear sky,Howard Johnson by Wyndham Modesto Ceres
625,Pemangkat,ID,80.53,scattered clouds,1.1667,108.9667,scattered clouds,Ramah Kost KITA
630,Labrea,BR,77.77,overcast clouds,-7.2586,-64.7981,overcast clouds,Hotel Novo Horizonte
632,Khandbari,NP,70.61,scattered clouds,27.3747,87.2039,scattered clouds,Sainik Hotel And Lodge
634,Sola,VU,80.76,overcast clouds,-13.8833,167.55,overcast clouds,Leumerus Bungalows
636,Nouadhibou,MR,70.32,overcast clouds,20.930999999999997,-17.0347,overcast clouds,El Medina
637,Punta Gorda,US,87.01,clear sky,26.9298,-82.0454,clear sky,Four Points by Sheraton Punta Gorda Harborside
639,Wajir,KE,79.07,broken clouds,1.7471,40.0573,broken clouds,Al-bustan Hotel And Restaurant.
642,Fare,PF,80.13,scattered clouds,-16.7,-151.0167,scattered clouds,Maitai Lapita Village Huahine
644,Brigantine,US,80.04,few clouds,39.4101,-74.3646,few clouds,Legacy Vacation Resorts - Brigantine Beach
646,Bata,GQ,79.79,overcast clouds,1.8639,9.7658,overcast clouds,Hotel Elik Melen
649,Kattivakkam,IN,81.07,broken clouds,13.2167,80.3167,broken clouds,Euronova Freezer
652,Hambantota,LK,77.34,few clouds,6.1241,81.1185,few clouds,Bungalow 63
653,Malartic,CA,73.94,broken clouds,48.1335,-78.1328,broken clouds,Camping Regional De Malartic
654,Baculin,PH,77.61,broken clouds,7.4525,126.5842,broken clouds,Baculin Cove Beach Resort
659,Sena Madureira,BR,77.88,overcast clouds,-9.0656,-68.6569,overcast clouds,Hotel Central
662,Tambun,ID,77.04,broken clouds,-6.2641,107.0712,broken clouds,Metland Hotel Bekasi
663,Yanam,IN,82.11,few clouds,16.7333,82.2167,few clouds,The Regency Hotel
668,Roma,US,80.74,broken clouds,43.2128,-75.4557,broken clouds,Wingate By Wyndham Rome
670,Winnemucca,US,87.85,few clouds,40.973,-117.7357,few clouds,Winners Inn Casino
672,Dalaba,GN,72.16,few clouds,10.7,-12.25,few clouds,Hôtel Tangama
