City_ID,City,Country,Max Temp,Description,Lat,Lng,Current Description,Hotel Name
447,Labuhan,ID,77.7,scattered clouds,-6.8844,112.2051,scattered clouds,DoubleFAG
449,Voi,KE,70.56,scattered clouds,-3.3945,38.563,scattered clouds,Voi Wildlife Lodge
451,Vanimo,PG,80.15,overcast clouds,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
452,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,few clouds,OYO 598 Peony Hotel
453,Williston,US,70.03,scattered clouds,48.147,-103.618,scattered clouds,Hampton Inn & Suites Williston
457,Pemba,MZ,75.9,few clouds,-12.974,40.5178,few clouds,Guesthouse Samotina
458,Awjilah,LY,73.65,clear sky,29.1081,21.2869,clear sky,المنزل
459,Palmer,US,79.41,broken clouds,42.1584,-72.3287,broken clouds,Wedgewood Motel
461,Tautira,PF,80.55,light rain,-17.7333,-149.15,light rain,Pension Oaoa
463,Gladstone,AU,70.79,overcast clouds,-23.85,151.25,overcast clouds,Highpoint International Hotel
464,Charters Towers,AU,70.03,clear sky,-20.1,146.2667,clear sky,Cattleman's Rest Motor Inn
466,Guerrero Negro,MX,74.12,overcast clouds,27.9769,-114.0611,overcast clouds,"Casa Laguna, Bed & Breakfast"
468,Kerema,PG,78.03,overcast clouds,-7.9631,145.7785,overcast clouds,Frena Lodge
469,Tabou,CI,79.45,overcast clouds,4.423,-7.3528,overcast clouds,hotêl doufoulougou
472,Alyangula,AU,75.63,clear sky,-13.8483,136.4192,clear sky,Groote Eylandt Lodge
473,Manicore,BR,76.33,overcast clouds,-5.8092,-61.3003,overcast clouds,Hotel Durval
474,Freeport,US,77.49,clear sky,40.6576,-73.5832,clear sky,The Freeport Inn and Marina
477,Laramie,US,71.98,clear sky,41.3114,-105.5911,clear sky,Fairfield Inn & Suites by Marriott Laramie
479,Narasannapeta,IN,82.65,scattered clouds,18.4167,84.05,scattered clouds,AVK events and catering
481,Bulata,PH,80.69,overcast clouds,9.8599,122.4016,overcast clouds,Punta Bulata Resort & Spa
485,Pala,TD,77.09,overcast clouds,9.3642,14.9046,overcast clouds,Nectar Hôtel de Pala
487,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,broken clouds,Flat Quatro Rodas Olinda
