City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
133,Ramnagar,IN,29.4,79.1167,81.81,18,18,6.49,few clouds
134,Taoudenni,ML,22.6783,-3.9836,91.42,7,32,13.24,scattered clouds
135,Sao Filipe,CV,14.8961,-24.4956,76.24,71,15,5.88,few clouds
136,Clyde River,CA,70.4692,-68.5914,29.73,79,100,3.74,overcast clouds
137,Boyolangu,ID,-8.1181,111.8935,75.9,91,28,2.24,scattered clouds
138,Omboue,GA,-1.5746,9.2618,78.21,93,100,6.29,overcast clouds
139,Galle,LK,6.0367,80.217,80.29,85,80,14.34,broken clouds
140,Korla,CN,41.7597,86.1469,69.71,23,87,6.11,overcast clouds
141,Goderich,CA,43.7501,-81.7165,56.21,86,99,6.55,overcast clouds
142,Chokurdakh,RU,70.6333,147.9167,18.21,88,99,9.26,overcast clouds
143,Nantucket,US,41.2835,-70.0995,63.01,93,100,6.91,fog
144,Havelock,US,34.8791,-76.9013,78.94,78,90,10.0,overcast clouds
145,Bilma,NE,18.6853,12.9164,82.72,15,0,10.22,clear sky
146,Opuwo,NA,-18.0607,13.84,68.63,33,73,2.33,broken clouds
147,Comodoro Rivadavia,AR,-45.8667,-67.5,48.69,67,0,8.03,clear sky
148,Marawi,PH,7.9986,124.2928,69.31,92,99,1.48,overcast clouds
149,Souillac,MU,-20.5167,57.5167,75.58,83,40,11.5,light rain
150,Nanyamba,TZ,-10.6833,39.8333,66.22,94,19,4.09,few clouds
151,Pelym,RU,61.0108,61.9978,44.37,93,29,4.85,scattered clouds
152,Batamshinskiy,KZ,50.5594,58.2747,51.22,94,100,14.9,overcast clouds
153,La Ronge,CA,55.1001,-105.2842,46.45,50,98,7.7,overcast clouds
154,Kahului,US,20.8947,-156.47,81.84,73,17,8.01,few clouds
155,Genhe,CN,50.7833,121.5167,40.44,52,11,1.9,few clouds
156,Airai,TL,-8.9266,125.4092,58.82,91,20,1.54,few clouds
157,Barrow,US,71.2906,-156.7887,33.82,75,0,9.22,clear sky
158,Arraial Do Cabo,BR,-22.9661,-42.0278,75.22,80,100,21.27,overcast clouds
159,Chongwe,ZM,-15.3292,28.682,55.42,58,1,4.63,clear sky
160,Yellowknife,CA,62.456,-114.3525,53.56,40,100,11.01,overcast clouds
161,Akdepe,TM,42.0551,59.3788,73.4,20,1,7.18,clear sky
162,The Valley,AI,18.217,-63.0578,80.1,78,97,20.69,overcast clouds
163,Katsuura,JP,35.1333,140.3,60.82,95,100,5.21,light rain
164,Balingen,DE,48.2752,8.8546,60.93,63,93,4.36,overcast clouds
165,Waingapu,ID,-9.6567,120.2641,75.87,84,24,6.02,few clouds
